category,held_out_type,fid,delta_ours_minus_b2,delta_ours_minus_b1,ours_auroc,b2_auroc,ours_recall,b2_recall
bottle,broken_large,159.91681538004198,0.0,0.04761904761904767,1.0,1.0,1.0,1.0
bottle,broken_small,161.43044592199053,0.0,0.04761904761904767,1.0,1.0,1.0,1.0
bottle,contamination,144.2479826472226,0.0,0.0,0.9476190476190477,0.9809523809523809,0.38095238095238093,0.38095238095238093
hazelnut,crack,111.42743427530499,0.0,-0.09642857142857142,1.0,1.0,0.7777777777777778,0.7777777777777778
hazelnut,cut,119.9861477763369,0.0625,0.3076923076923077,1.0,1.0,1.0,0.8823529411764706
hazelnut,hole,115.12201848897733,-0.09642857142857142,0.11637931034482762,1.0,1.0,0.7777777777777778,0.9444444444444444
hazelnut,print,123.8303951554834,0.24425287356321834,0.4466338259441708,0.9647058823529412,0.9882352941176471,0.7058823529411765,0.4117647058823529
carpet,color,115.54223532290223,0.10228166797797011,-0.04784240150093799,0.6015037593984962,0.6165413533834587,0.7368421052631579,0.47368421052631576
carpet,cut,134.79920754736358,0.2222222222222222,0.06209150326797386,0.8613445378151261,0.676470588235294,1.0,0.7647058823529411
carpet,hole,145.50693094600996,0.040322580645161255,-0.11486486486486491,0.907563025210084,0.8109243697478992,0.7058823529411765,0.6470588235294118
carpet,metal_contamination,135.29121120446442,0.31314072693383044,0.2842197035745423,0.9705882352941176,0.676470588235294,0.9411764705882353,0.47058823529411764
carpet,thread,140.56822732853132,0.27972027972027974,0.022514071294559124,0.5977443609022556,0.14661654135338345,0.3157894736842105,0.15789473684210525
metal_nut,bent,179.56116564765333,0.5259467040673211,0.19509476031215156,0.9527272727272728,0.9054545454545454,0.84,0.24
metal_nut,color,170.66683482956898,-0.19642857142857145,-0.2571428571428572,0.8925619834710743,0.9090909090909091,0.2727272727272727,0.45454545454545453
metal_nut,flip,133.995241345707,-0.04166666666666663,0.0,1.0,1.0,1.0,1.0
metal_nut,scratch,173.70830357439445,-0.07082452431289643,0.08372093023255811,0.9683794466403162,0.992094861660079,0.8260869565217391,0.9130434782608695
screw,manipulated_front,97.70117568383584,-0.28421052631578947,-0.3727272727272727,0.9563492063492063,0.9226190476190476,0.25,0.5416666666666666
screw,scratch_head,94.22917210554502,0.008343763037129803,-0.039215686274509776,0.9484126984126985,0.976190476190476,0.9583333333333334,0.875
screw,scratch_neck,100.14157282002563,0.038461538461538436,0.04166666666666663,1.0,1.0,1.0,1.0
screw,thread_side,111.82440625252914,-0.3070652173913043,-0.35416666666666663,0.9440993788819875,0.968944099378882,0.391304347826087,0.8695652173913043
screw,thread_top,106.26365166022926,-0.035196687370600444,-0.13043478260869568,0.9565217391304348,0.9979296066252588,0.8695652173913043,0.8260869565217391
tile,crack,212.51804234804248,0.0,0.05541125541125547,0.9930795847750865,1.0,0.9411764705882353,0.9411764705882353
tile,glue_strip,230.5866405560624,-0.05882352941176472,0.10246679316888041,1.0,1.0,0.8888888888888888,1.0
tile,gray_stroke,206.47698424073948,-0.1981424148606811,-0.1981424148606811,0.9080882352941176,0.9779411764705882,0.0625,0.1875
tile,oil,237.98033705025284,0.0,0.0,1.0,1.0,1.0,1.0
tile,rough,211.21863606790217,-0.65359477124183,-0.5147058823529411,0.9882352941176471,1.0,0.13333333333333333,0.8
