category,held_out_type,real_mean,real_std,real_edge,n_real,syn_mean,syn_std,syn_edge,n_syn
bottle,broken_large,0.5408843159675598,0.3591386675834656,0.17045632004737854,32,0.4065972864627838,0.16551488637924194,0.20747800171375275,500
bottle,broken_small,0.5397862792015076,0.3596276342868805,0.1652173399925232,31,0.3893928825855255,0.15633651614189148,0.18550384044647217,500
bottle,contamination,0.5381416082382202,0.3611386716365814,0.16657611727714539,32,0.3347248136997223,0.1325993686914444,0.16564935445785522,500
hazelnut,crack,0.20585894584655762,0.09958616644144058,0.060393523424863815,39,0.26232385635375977,0.12272383272647858,0.09151430428028107,500
hazelnut,cut,0.20569321513175964,0.10349853336811066,0.06497272104024887,40,0.2730334401130676,0.10687312483787537,0.10239647328853607,500
hazelnut,hole,0.20712654292583466,0.10208785533905029,0.06266966462135315,39,0.2906397581100464,0.128624826669693,0.0960182324051857,500
hazelnut,print,0.20827293395996094,0.09309546649456024,0.05821816995739937,40,0.2775135338306427,0.11972694098949432,0.12045782804489136,500
carpet,color,0.35792526602745056,0.11378935724496841,0.6627640128135681,52,0.32179030776023865,0.214029461145401,1.2092257738113403,500
carpet,cut,0.3607509136199951,0.11523062735795975,0.6686292290687561,54,0.27845340967178345,0.20423845946788788,1.176926612854004,500
carpet,hole,0.3590899109840393,0.1142493411898613,0.662617564201355,54,0.30302393436431885,0.19245746731758118,1.089212417602539,500
carpet,metal_contamination,0.36138802766799927,0.11548548936843872,0.6690409779548645,54,0.2806980013847351,0.1997305452823639,1.1447279453277588,500
carpet,thread,0.35889217257499695,0.11433954536914825,0.663382887840271,52,0.29925328493118286,0.22244428098201752,1.2462151050567627,500
metal_nut,bent,0.23063001036643982,0.16212476789951324,0.14907535910606384,51,0.2712140381336212,0.20475630462169647,0.2478872686624527,500
metal_nut,color,0.2295372039079666,0.15925708413124084,0.14966130256652832,53,0.261521577835083,0.20353887975215912,0.24040700495243073,500
metal_nut,flip,0.2277422696352005,0.15959976613521576,0.16062980890274048,52,0.2443990409374237,0.2006443440914154,0.23606446385383606,500
metal_nut,scratch,0.22902964055538177,0.15963926911354065,0.15165910124778748,52,0.2549819350242615,0.21239812672138214,0.24916671216487885,500
screw,manipulated_front,0.736003041267395,0.13155671954154968,0.06794164329767227,71,0.653454601764679,0.15777625143527985,0.10905149579048157,500
screw,scratch_head,0.729492723941803,0.1321088671684265,0.06720899790525436,71,0.6430859565734863,0.15668320655822754,0.10526984930038452,500
screw,scratch_neck,0.7301043272018433,0.13255372643470764,0.06749936193227768,70,0.6470587253570557,0.16234058141708374,0.10475686937570572,500
screw,thread_side,0.7315011620521545,0.1323705017566681,0.06768946349620819,72,0.6649566888809204,0.15700232982635498,0.11612216383218765,500
screw,thread_top,0.7316898107528687,0.13314801454544067,0.06774131208658218,72,0.6619141101837158,0.1623804271221161,0.11659189313650131,500
tile,crack,0.44099318981170654,0.11695574969053268,0.35284584760665894,50,0.4305844008922577,0.09780678153038025,0.28439611196517944,500
tile,glue_strip,0.43173572421073914,0.11587093025445938,0.36073553562164307,50,0.4176265299320221,0.10300850123167038,0.32236427068710327,500
tile,gray_stroke,0.44049888849258423,0.11574367433786392,0.3594301640987396,51,0.43993687629699707,0.11116831004619598,0.3617457449436188,500
tile,oil,0.43679478764533997,0.11751367896795273,0.35919806361198425,50,0.4284510016441345,0.12016239762306213,0.366435170173645,500
tile,rough,0.43117791414260864,0.11491033434867859,0.35760757327079773,52,0.42689159512519836,0.09983572363853455,0.3161384165287018,500
